	author	title	journal	year	Volume	issue	page	Freq
491	Qin,He	Knowledge discovery through Co-Word Analysis	Library Trends	1999	48	1	NA	1
492	Qiu,L_	New test of Bradford law	Information Processing and Management	1990		5	NA	1
493	QUINN,J_B_	Next big industry: environmental improvement	Harvard Business Review	1971	49	9-10	NA	1
494	RAMEZAN,M	Intellectual capital and organizational organic structure in knowledge society: How are these concepts related?	International Journal of Information Management	2011	31	1	NA	1
495	Rasmussen,E	Visualizing knowledge domains	Proceedings of the American Society for Information Science & Technology	2002	39	39	NA	1
496	Rasmussen,Pernille G_	Altmetrics: an Alternate Perspective on Research Evaluation	Sciecom Info	2013	9	2	NA	1
497	Ratkowsky,David A_	非线性回归模型:统一的实用方法	南京:南京大学出版社，1986:	NA	NA	NA	NA	1
498	REID, E_ F_	Mapping the contemporary terrorism research domain	Int	 J	 Human-computer Studies	NA	NA	1
499	Rogers,E_M_	Field of Health Communication Today: An Up-to-Date Report	Journal of Health Communication	1996	1	1	NA	1
500	Rorissa,A_	Visualizing and Mapping the Intellectual Structure of Information Retrieval	Information Processing and Management	2011		48	NA	1
501	Rosalie,T_	Brain drain versus brain gain: An exploratory study of ex-host country nationals in central and east Europe	International Journal of Human Resource Management	2006	17	11	NA	1
502	Rothaermel,F_	Incubator firm failure or graduation?: The role of university linkages	Research Policy	2005	34	7	NA	1
503	Rousseau,R_	Sitations:An Exploratory Study	Cybermetrics	1997	1	1	NA	1
504	Rudd,J_	Education for a smarter planet: The future of learning	NA	NA	NA	NA	NA	1
505	Rumbaugh,J_	Object-oriented modeling and design	Englishwood Cliffs, NJ:Prentice Hall	NA	NA	NA	NA	1
506	Rychen,D S	Key Competencies for a Successful Life and a Well-Functioning society	Gottingen:Hogrefe Publishing	NA	NA	NA	NA	1
507	Sanchez,C A	Instructor accents in online education and their effect on learning and attitudes	Journal of Computer Assisted Learning	2016	32	5	NA	1
508	Sawyer,S	Conceptualizing information, technology, and people: Comparing information science and information systems literatures	Journal of the American Society for Information Science & Technology	2007	58	10	NA	1
509	Scharnhorst,A_	Models of science dynamics: encounters between complexity theory and information sciences	Springer	NA	NA	NA	NA	1
510	Schindler, D_W_	Impact statement Boondoggle	Science	1976	1976	NA	509	1
511	Scholl,W_	Future of knowledge management: An international delphi study	Journal of Knowledge Management	2004	8	2	NA	1
512	Schubert,A_	Cross-national preference in co-authorship, references and citations	Scientometrics	2006	69	2	NA	1
