	author	title	journal	year	Volume	issue	page	Freq
696	陈英群	版权扩张与限制在数字图书馆中的体现	图书与情报	2003		2	57－59	1
697	陈永生	应当重视档案学方法论的研究	档案	1990		1	NA	1
698	陈咏梅	学术类医学期刊栏目设置现状及分析	广东药学院学报	1998	14	1	NA	1
699	陈瑜林	我国教育技术学术群体可视化知识图谱构建与分析	中国电化教育	2012		12	NA	1
700	陈雨露	金融学文献通论	北京:中国人民大学出版社	NA	NA	NA	NA	1
701	陈玉屏	民族问题能否“去政治化”论争之我见	西南民族大学学报（文科版）	2008		7	NA	1
702	陈远	近年来国内竞争情报研究述评——基于中国期刊网1999-2004年竞争情报论文的统计分析	图书情报知识	2005		12	NA	1
703	陈悦	Cite￣Space知识图谱的方法论功能	科学学研究	2015		2	NA	1
704	陈悦	科学知识图谱:方法与应用	北京:人民出版社	NA	NA	NA	NA	1
705	陈悦	科学知识图谱的发展历程	科学学研究	2008		3	NA	1
706	陈悦	科学知识图谱的发展历程	科学学研究	2008	26	3	NA	1
707	陈悦	悄然兴起的知识图谱	科学学研究	2005	23	2	NA	1
708	陈悦	引文空间分析原理与应用:Cite Space实用指南	北京:科学出版社	NA	NA	NA	NA	1
709	陈悦	引文空间分析原理与应用Citespace实用指南	北京:科学出版社	NA	NA	NA	NA	1
710	陈兆祦	再论档案的定义——兼论文件的定义和运动周期问题	档案学通讯	1987		2	NA	1
711	陈振明	政策科学的起源与政策研究的意义	厦门大学学报（哲学社会科学版）	1992		4	NA	1
712	陈振明	中国公共管理理论研究的重点领域和主题	中国社会科学	2007		3	NA	1
713	成波	网络计量学研究的奠基之作——评邱均平教授等著的《网络数据分析》	情报理论与实践	2006		2	253	1
714	程朝欣	基于CSSCI近十年我国知识服务可视化分析	现代商业	2013		30	NA	1
715	程达	试论第五个现代化	湖南师范大学社会科学学报	1986		6	NA	1
716	程刚	《图书情报工作》被引分析与研究	图书情报工作	2001		4	NA	1
717	程刚	《现代图书情报技术》被引分析	现代图书情报技术	2001		1	33－36	1
718	程焕文	光荣与梦想:二十世纪中国图书馆事业回顾	图书馆	1994		3	NA	1
719	程军	《养性延命录》作者考	中华医史杂志	1994		4	NA	1
720	程齐凯	一种基于共词网络社区的科研主题演化分析框架	图书情报工作	2013	57	8	NA	1
721	程维红	中、外农学期刊网站现状调查与比较分析	中国科技期刊研究	2006	17	5	726-729	1
722	程星	美国院校研究的历史与现状	苏州大学学报(哲学社会科学版)	1995		4	NA	1
723	程雪峰	媒介推力与文化强势:对中国体育话语权缺失的再认识	中国体育科技	2015	12	9	NA	1
724	程亚男	书海听涛图书馆散论	北京:北京图书馆出版社	NA	NA	NA	NA	1
725	池建	国民体质健康研究的思考	北京体育大学学报	2009	32	12	NA	1
726	初景利	嵌入式学科服务研究进展	图书情报工作	2013	57	22	NA	1
727	辞海编辑委员会	辞海	上海:上海辞书出版社	NA	NA	NA	NA	1
728	崔雷	当年高被引论文的主题链聚类分析及其在情报预测中的应用	情报学报	1995	14	5	368-373	1
729	崔雷	关于从MEDLINE数据库中进行知识抽取和挖掘的研究进展	情报学报	2003		4	NA	1
730	崔雷	关于从medline数据库中进行知识抽取和挖掘的研究进展	情报学报	2003	22	4	NA	1
731	崔雷	关于从MEDLINE数据库中进行知识抽取和挖掘的研究进展	情报学报	2003	22	4	NA	1
732	崔雷	关于从MEDLINE数据库中进行知识抽取和挖掘的研究进展	情报学报	2003	22	4	NA	1
733	崔雷	文献数据库中书目信息共现挖掘系统的开发	现代图书情报技术	2008		8	NA	1
734	崔雷	学科主题演变的深度挖掘分析——以普通外科学为例	医学信息学杂志	2009		8	NA	1
735	崔雷	重点学科发展战略情报研究(一)——引文战略坐标	情报理论与实践	2009		6	NA	1
736	崔旺来	《中国社会科学》1994-1998年作者及引文的统计分析与评价	中国社会科学	1999		3	NA	1
737	崔卫民	飞机驾驶舱设计中的人因工程问题	南华大学学报（理工版）	2002	16	1	63-66	1
738	崔雁黎	图书情报文献学发展趋势分析——基于2003—2012年国家社会科学基金立项资料	四川图书馆学报	2013		6	NA	1
739	崔玉萍	文献计量中论文作者数量的研究	运筹与管理	2004		l2	NA	1
740	戴龙基	中文核心期刊要目总览（2000年版）	北京:北京大学出版社，2000	NA	NA	NA	NA	1
741	戴龙基	中文核心期刊要目总览(2008年版)	北京:北京大学出版社	NA	NA	NA	NA	1
742	单文戈　	文献计量学指标在科技论文评价中的应用　　	中华医院管理杂志	2007	23	2	133-135	1
743	单文戈	文献计量学指标在科技论文评价中的应用	中华医院管理杂志	2007		2	NA	1
744	单玉丽	全球化视阈下的国际科技合作与我国对策	亚太经济	2011		6	NA	1
745	党亚茹	期刊影响因子变异问题研究	资讯传播与图书馆学[台]	2002	9	1	37—44	1
746	党亚茹	一类双向交流情报系统及其结构模型	情报学报	1998	17	4	312-316	1
747	德鲁克,彼得	21世纪的管理挑战	北京:机械工业出版社	NA	NA	NA	NA	1
748	德鲁克	管理的实践	北京:机械工业出版社	NA	NA	NA	NA	1
749	邓发云	信息及信息服务的可信度研究	成都:西南交通大学出版社	NA	NA	NA	NA	1
750	邓剑伟	我国马克思主义政治学研究现状、热点及趋势	上海行政学院学报	2011		4	NA	1
751	邓珞华	词频分析	武汉大学学报(社会科学版)	1987		1	NA	1
752	邓群	论期刊品牌的三重目的	出版科学	2010	18	4	NA	1
753	邓三鸿	我国人文社会科学学术期刊的学科对比——基于CSSCI的分析	东岳论丛	2008		1	NA	1
754	邓尚民	信息抽取系统的研究现状	现代图书情报技术	2006		3	55-58	1
755	邓婷	纸质数据库和数字化数据库出版模型的对比	科技与出版	2007		10	NA	1
756	狄玉峰	高原低氧运动对我国优秀马拉松员李柱宏等人机体血象指标的影响	首都体育学院学报	2011	23	5	NA	1
757	丁华东	十年未档案文献编纂学学科发展的几点蠡测	档案学研究	2000		4	NA	1
758	丁金昌	高职人才培养不可替代性的策略研究	中国高教研究	2010		6	NA	1
759	丁文英	网络环境下大学生的信息素质教育	图书馆理论与实践	2008		2	NA	1
760	丁兴富	远程教育的宏观理论	中国远程教育	2001		1	NA	1
761	丁学东	文献计量学基础	北京:北京大学出版社	NA	NA	NA	NA	1
762	丁学东	文献计量学基础	北京:北京大学出版社，1991	NA	NA	NA	NA	1
763	丁学东	文献计量学基础	北京:北京大学出版社，1993:	NA	NA	NA	NA	1
764	丁学东	文献计量学基础	北京大学出版社，1993	NA	NA	NA	NA	1
765	丁学东	文献计量学基础	北京大学出版社，1993:54	NA	NA	NA	NA	1
766	丁长康	我国近十年课程研究热点与反思——基于Cite Space的分析	现代教育管理	2015		3	NA	1
767	董琳	使用文献计量方法开展学科评价	情报杂志	2009	28	9	NA	1
768	董薇	图书馆服务高校智库建设的策略——“双一流”高校建设背景下的思考	智库理论与实践	2017	2	3	NA	1
769	董文鸳	2002—2004年《情报科学》载文、作者与引文统计分析	情报科学	2005		9	NA	1
770	董文鸳	2002—2004年《情报科学》载文、作者与引文统计分析	情报科学	2005	23	9	NA	1
771	董小燕	2003年《情报科学》载文、作者及引文的统计分析	情报科学	2004		5	551-553	1
772	杜宝荣	SCI收录我国科技期刊的分析与思考	中国科技期刊研究	1997	8	1	8	1
773	杜万芬	向著者索要抽印本和期刊著者地址的作用	成都，1985	NA	NA	NA	NA	1
774	杜友坚	近年来我国高校成人教育研究热点知识图谱及发展趋势研究——基于成人教育研究文献的共词分析	中国高教研究	2014		4	NA	1
775	杜玉波	认清形势  突出重点  群策群力  努力开创我国专业学位研究生教育改革发展的新局面	学位与研究生教育	2011		6	NA	1
776	杜育红	中国教育经济学三十年回顾与展望	清华大学教育研究	2008		6	NA	1
777	段先娥	中国图书情报领域国际发文状况分析(2011-2015)	图书馆论坛	2017	37	5	NA	1
778	段晓明	我国医学期刊近两年发表的眼底病研究论文情况分析	中华眼科杂志	2002		3	NA	1
779	樊杰	现今中国区域发展值得关注的问题及其经济地理阐释	经济地理	2012	32	1	NA	1
780	范并思	当代中国社会科学报刊文献分析	北京:华东师范大学出版社，2000:	NA	NA	NA	NA	1
781	范并思	当代中国社会科学报刊文献分析	华东师范大学出版社，2000	NA	NA	NA	NA	1
782	范并思	当代中国社会科学报刊文献分析	上海:华东师范大学出版社，2000:	NA	NA	NA	NA	1
783	范并思	新世纪，图书馆学基础研究什么？	图书馆	2003		1	NA	1
784	范并思	阅读推广的管理自觉	图书馆论坛	2015		10	NA	1
785	范并思	阅读推广与图书馆学:基础理论问题分析	中国图书馆学报	2014		5	NA	1
786	范并思	中国社会科学的发展与变革	浙江学刊	1999		3	71	1
787	范柳	区域经济圈创业政策比较分析及启示	科技进步与对策	2017	34	13	NA	1
788	范先佐	20世纪中国教育经济学发展的回顾与前瞻	华中师范大学学报（文科版）	1999		1	NA	1
789	范笑仙	2006年中国高等教育研究热点问题评价——基于2006年高等教育核心期刊的关键词分析	中国高教研究	2007		6	NA	1
790	方汉奇	中国新闻事业通史	北京:中国人民大学出版社，1996:	NA	NA	NA	NA	1
791	方红玲	2010年SCIE收录眼科学期刊及其文献计量学指标统计分析	中国科技期刊研究	2012	23	5	NA	1
792	方卿	图书营销学教程	长沙:湖南大学出版社	NA	NA	NA	NA	1
793	方曙	洛特卡定律与分形理论	图书情报工作	1989		6	NA	1
794	方小苏	1999年《图书情报工作》载文及作者统计分析	图书情报工作	2001		4	NA	1
795	方永才	浙江大学SCI论文影响力的统计分析	浙江大学学报(工学版)	2004	38	8	NA	1
796	方舟子	学术评价有新招	2007	NA	NA	NA	NA	1
797	房宁	全国42%的农户加入了合作社	农民日报	3	21	NA	NA	1
798	冯春明	对学术期刊评价中若干问题的思考	河北师范大学学报(哲学社会科学版)	2010		2	NA	1
799	冯惠玲	档案学概论	北京:中国人民大学出版社	NA	NA	NA	NA	1
800	冯明	企业绩效评估指标体系研究的回顾与思考	重庆商学院学报	1998		1	NA	1
801	冯瑶	国内文献计量研究的特征分析	现代情报	2012	32	2	NA	1
802	冯长根	学术期刊编辑应该承担起科技创新的历史责任	科技导报	2005	23	5	6-9	1
803	冯祝斌	基于Web of Science的中国图书情报学科研成果调研与分析	图书情报知识	2013		4	NA	1
804	福布斯中文网站	福布斯2012年家族企业调查报告	2013	NA	NA	NA	NA	1
805	付晓霞	从2000—2009年我国在SCI收录期刊发表的论文数据看SCI对我国科技期刊的影响	编辑学报	2011	23	3	NA	1
806	傅荣校	十年来(1995-2004)档案学热点问题分布——基于《档案学研究》、《档案学通讯》、《中国档案》论文分析	档案学通讯	2006		6	NA	1
807	傅荣校	十年来(1995—2004)档案学热点问题分布——基于《档案学研究》、《档案学通讯》、《中国档案》论文分析	档案学通讯	2006		6	NA	1
808	傅秀梅	生物制氢——能源、资源、环境与经济可持续发展策略	中国生物工程杂志	2007		2	NA	1
809	盖斯勒，埃利泽	科学技术测度体系	北京:科学技术文献出版社，2003	NA	NA	NA	NA	1
810	高红岩	战略管理学	北京:清华大学出版社，2007:	NA	NA	NA	NA	1
811	高继平	专利研究文献的可视化分析	情报杂志	2009	28	7	NA	1
812	高建群	期刊引文分析及其情报价值	图书情报工作	2004	48	1	NA	1
813	高静	瑞典知识学校探微	上海教育科研	2008		10	NA	1
814	高静美	组织变革研究体系的嬗变与中国维度的本土考量	管理世界	2010		9	NA	1
815	高敏	从东汉时期入仕者与知名人士出生地的分布状况看东汉江南经济的发展	郑州大学学报（文科版）	2003		3	NA	1
816	高小平	我国应急管理研究述评(上)	中国行政管理	2009		8	NA	1
817	高小平	中国绩效管理的实践与理论	中国社会科学	2011		6	NA	1
818	高智勇	数字化制造中的信息质量问题研究	计算机集成制造系统	2005		7	NA	1
819	葛金国	教师文化通论	北京:北京师范大学出版社	NA	NA	NA	NA	1
820	耿海英	共引分析方法及其应用研究:学位论文:北京	中国科学院研究生院,2007:3	NA	NA	NA	NA	1
821	耿正萍	核心期刊概念的演变与作用	煤炭高等教育	2008		1	121-123	1
822	耿志杰	情报学领域关键词同现网络结构研究	情报科学	2010		8	NA	1
823	宫雪	利用不同类型引文探测研究前沿及比较研究	中华医学图书情报杂志	2010		4	NA	1
824	龚放	2000-2004年中国教育研究热点与关键词——基于CSSCI的统计分析	高等教育研究	2006		9	NA	1
825	龚放	2005～2006年我国教育学期刊影响力评价——基于CSSCI的统计分析	北京大学教育评论	2009		1	NA	1
826	巩永强	基于词频分析法的情报学研究热点透析	图书馆学研究	2011		7	NA	1
827	缑倩倩	中国沙尘暴源区及其治理研究述评	中国沙漠	2012	32	6	NA	1
828	古松	中国竞技排球发展制约因素的研究	北京体育大学学报	2012	35	10	NA	1
829	顾龙翔	国外卫星电视知识网络	电子技术	1985		10	NA	1
830	顾英	从图书馆学情报学核心期刊发文看当前图书馆学研究热点问题	图书馆建设	2004		2	NA	1
831	顾震宇	LED背光源的应用现状与前景展望	2006	NA	NA	NA	NA	1
832	关于办好高等学校哲学社会科学学报的意见	NA	NA	NA	NA	NA	NA	1
833	郭吉安	情报研究与创新	北京:科学出版社	NA	NA	NA	NA	1
834	郭书菊	我国“开放存取”研究的文献计量分析	图书馆学刊	2008		4	NA	1
835	郭文斌	我国学前教育研究热点知识图谱	学前教育研究	2014		1	NA	1
836	郭晓钟	我国整合医学发展之路	中华医学信息导报	2014	29	23	NA	1
837	国际现代建筑学会	雅典宪章	城市发展研究	2007		5	NA	1
838	国家科学技术委员会	1996年中国科学技术指标	北京:科学技术文献出版社，1997	NA	NA	NA	NA	1
839	国家科学技术委员会	科学技术期刊管理办法	中华人民共和国国务院公报	6	5	NA	NA	1
840	国家自然科学基金委	国家自然科学基金创新研究群体项目管理办法	国家自然科学基金委	NA	NA	NA	NA	1
841	国家自然科学基金委管理科学部	2003年管理科学类重要期刊工作交流会议纪要	管理科学学报	2003		3	NA	1
842	国家自然科学基金委员会	2015年度国家自然科学基金项目指南	北京:科学出版社	NA	NA	NA	NA	1
843	国家自然科学基金委员会	国家自然科学基金项目指南(2012)	北京:科学出版社	NA	NA	NA	NA	1
844	国务院	国务院关于当前发展学前教育的若干意见	2010	NA	NA	NA	NA	1
845	国务院	国务院关于加快发展体育产业促进体育消费的若干意见(国发〔2014〕46号)	2017	NA	NA	NA	NA	1
846	海登海默,阿诺德·J	腐败的面貌:以比较眼光进行的探索	国际社会科学杂志	1997		3	NA	1
847	韩丽风	1990-1995我国文献计量应用研究论文定量分析	图书情报工作	1997		8	NA	1
848	韩梅	网络搜索引擎研究综述(1994—2004)	图书馆学研究	2005		10	NA	1
849	韩明	“系统工程理论与实践”论文作者服从Lotka分布的统计分析	系统工程理论与实践	1999		6	NA	1
850	韩圣龙	美国《大学与研究图书馆》评价	中国图书馆学报	1995		4	NA	1
851	韩维栋	挖掘高被引论文有利于提高科技期刊的学术影响力	中国科技期刊研究	2010		4	NA	1
852	韩维栋	挖掘高被引论文有利于提高科技期刊的学术影响力	中国科技期刊研究	2010	21	4	NA	1
853	韩新峰	2002-2011年我国公共图书馆服务体系建设研究综述	图书馆建设	2012		12	NA	1
854	韩秀兰	《中国图书馆学报》自引分析	中国图书馆学报	1996		6	69	1
855	韩秀兰	十年来我院科研论文管理工作的效益分析	中华医学科研管理杂志	1998	11	1	NA	1
856	杭敏	传媒经济学研究的历史、方法与范例	现代传播	2005		4	NA	1
857	郝群	信息共享空间国内外研究进展及相关实践	中国图书馆学报	2008		3	NA	1
858	郝云宏	国外知识网络的研究及其新进展	浙江工商大学学报	2007		6	NA	1
859	何承志	从Medline收录情况看医科大学学报发展现状	医学信息学杂志	2009	30	10	NA	1
860	何继善	论工程管理	中国工程科学	2005	7	10	NA	1
861	何建新	南京农业大学学报论文及其引文的统计分析	南京农业大学学报	1993		3	102-109	1
862	何峻	中国期刊出版及评价现状分析	广西民族大学学报(哲学社会科学版)	2011	33	5	NA	1
863	何克抗	教育技术学	北京:北京师范大学出版社	NA	NA	NA	NA	1
864	何明	云计算技术发展及应用探讨	电信科学	2010		5	NA	1
865	何小清	引文分析法及综合性社会科学期刊评价	中国社会科学	2001		4	NA	1
866	何燕芝	关于做好高校教代会提案工作的思考	当代教育实践与教学研究	2015		7	NA	1
867	何中华	近年来国内哲学研究状况检讨——一个有限的观察和评论	文史哲	2007		3	NA	1
868	核心素养研究课题组	中国学生发展核心素养	中国教育学刊	2016		10	NA	1
869	贺德方	中外信息内容产业的对比分析	中国软科学	2005		11	NA	1
870	贺贵才	知识产权保护与技术创新关系的理论分析	科研管理	2011	32	11	NA	1
871	贺天平	回眸历史慨而慷	自然辩证法通讯	2003	25	3	NA	1
872	贺颖	基于科学知识图谱的档案学基础理论进展研究(1999-2008年)	图书情报工作	2010		2	NA	1
873	贺颖	基于科学知识图谱的档案学基础理论进展研究(1999—2008年)	图书情报工作	2010		1	NA	1
874	贺自爱	研究起点与科学观察	石油与天然气地质	1997		4	NA	1
875	洪自强	工作情景中差错概念与差错取向因素分析	心理科学	2000		5	NA	1
876	侯海燕	当代国际科学学研究热点演进趋势知识图谱	科研管理	2006	27	3	NA	1
877	侯海燕	基于知识图谱的国际科学计量学研究前沿计量分析	科研管理	2008		1	NA	1
878	侯海燕	基于知识图谱的科学计量学进展的研究:学位论文	大连:大连理工大学,2006	NA	NA	NA	NA	1
879	侯海燕	权威科学计量学家对科学的关注及贡献	情报杂志	2006	25	4	NA	1
880	侯剑华	工商管理学科演进与前沿热点的可视化分析:学位论文	大连:大连理工大学,2009	NA	NA	NA	NA	1
881	侯剑华	工商管理学科演进与前沿热点的可视化分析:学位论文	大连:大连理工大学,2009:18-20	NA	NA	NA	NA	1
882	侯剑华	战略管理学前沿演进可视化研究	科学学研究（增刊）	2007		S1	NA	1
883	侯剑华	战略管理学前沿演进可视化研究	科学学研究	2007		6	NA	1
884	侯剑华	战略管理学前沿演进可视化研究	科学学研究	2007		A1	NA	1
885	侯剑华	战略管理学在中国:历史、现状和未来:于文献信息可视化分析的视角	社会科学管理与评论	2013		1	NA	1
886	侯剑华	智力资本管理的科学定位及其发展趋势探析	情报科学	2006	24	6	835-838	1
887	侯钰	从科技论文的合著情况看90年代合作研究的发展	情报学报	1997	16	4	312-318	1
888	候海燕	科学计量学知识图谱	大连:大连理工大学出版社	NA	NA	NA	NA	1
889	胡鞍钢	腐败与社会不公——中国90年代后半期腐败经济损失的初步估计与分析	江苏社会科学	2001		3	NA	1
890	胡德华	信息行为研究的可视化分析	图书馆杂志	2015		9	NA	1
891	胡德鑫	中德顶尖研究型大学研究生国际化能力比较研究——以清华大学和柏林自由大学为例	研究生教育研究	2017		6	NA	1
892	胡河宁	组织传播学——结构与关系的象征性互动	北京:北京大学出版社	NA	NA	NA	NA	1
893	胡继东	关于学科馆员制度的建立与完善问题	图书情报知识	2002		3	NA	1
894	胡锦光	关于中国宪法学研究方法的思考	浙江学刊	2005		4	NA	1
895	胡锦涛	坚定不移沿着中国特色社会主义道路前进，为全面建成小康社会而奋斗——在中国共产党第十八次全国代表大会上的报告	2013	NA	NA	NA	NA	1
896	胡名霞	动作控制与动作学习	台湾:金名图书有限公司	NA	NA	NA	NA	1
897	胡明	情报检索语言“标引耦合”现象的原理及其应用研究	图书情报工作	1996		6	23-27、40	1
898	胡明晖	我国科学基金制的演变、评价与政策建议	武汉理工大学学报（文科版）	2006	19	5	NA	1
899	胡明铭	同行评议研究综述	中国科学基金	2005		4	NA	1
900	胡铁生	我国微课发展的三个阶段及其启示	远程教育杂志	2013		4	NA	1
901	胡玮	引文衰减率模型研究	图书情报工作	1997		10	15-18，33	1
902	胡星斗	弱势群体经学简论	2012	NA	NA	NA	NA	1
903	胡雅君	《国际图联杂志》述评	中国图书馆学报	1995		4	76-79	1
904	胡延平	跨越数字鸿沟——面对第二次现代化的危机与挑战	北京:社会科学文献出版社	NA	NA	NA	NA	1
905	胡燕	传统村落的概念和文化内涵	城市发展研究	2014	21	1	NA	1
906	胡泳	2011中国网络舆论的三大变化	中国新闻周刊	2012		1	NA	1
907	胡泽文	国内知识图谱应用研究综述	图书情报工作	2013	57	3	NA	1
908	胡智锋	从“宣传品”、“作品”到“产品”——中国电视50年节目创新的三个发展阶段	现代传播(中国传媒大学学报)	2008		4	NA	1
909	黄橙紫	科技英语词汇的统计特征	同济大学学报（社会科学版）	2003		2	NA	1
910	黄国威	对大学生信息素质教育内容与方法的探讨	高校图书馆工作	2009		3	NA	1
911	黄勤	批评性话语分析视角下的新闻翻译分析——以转述话语的翻译为例	外语与外语教学	2008		3	NA	1
912	黄荣怀	面向信息化学习方式的电子教材设计与开发	开放教育研究	2012	18	3	NA	1
913	黄如花	国内外科学数据元数据研究进展	图书与情报	2014		6	NA	1
914	黄微	网络舆情场形成与极性演化机理研究	情报理论与实践	2016	39	12	NA	1
915	黄维	中国教育经济学研究者合作网络的社会网络分析	现代大学教育	2010		2	NA	1
916	黄晓斌	网络环境下的竞争情报	北京:经济管理出版社	NA	NA	NA	NA	1
917	黄晓冬	Invisible web研究综述	情报科学	2004	22	9	1145-1148	1
918	黄晓辉	当代世界经济与政治	福州:福建教育出版社，2003	NA	NA	NA	NA	1
919	黄晓鹂	期刊工作文摘	北京:北京图书馆出版社，2001	NA	NA	NA	NA	1
920	黄晓鹂	阅读疗法实证研究	北京:光明日报出版社	NA	NA	NA	NA	1
921	黄新建	浅谈电子商务	中小企业管理与科技	2008		11上	NA	1
922	黄长	网络环境下图书情报学科与实践的发展趋势	北京:社会科学文献出版社	NA	NA	NA	NA	1
923	霍丽萍	网络环境下的文献计量学	图书情报工作	2001		11	NA	1
924	吉鸿荣	90年代我国只读光盘检索研究述评	情报理论与实践	1998	21	3	184-186	1
925	季丹	我国网络舆情研究的历史回顾与反思	上海交通大学学报(哲学社会科学版)	2012		4	NA	1
926	季浏	我国新一轮基础教育体育课程改革10年回顾	上海体育学院学报	2011	35	3	NA	1
927	加菲尔德，尤金	引文索引法的理论及应用	北京:北京图书馆出版社	NA	NA	NA	NA	1
928	嘉茗	广博与深邃——记著名情报科学家王崇德	图书馆工作与研究	1992		1	NA	1
929	江宁康	当前外国文学研究现状分析	外国文学评论	2006		3	17-21	1
930	江水法	科技界精神文明概论	北京:经济管理出版社	NA	NA	NA	NA	1
931	江信	世界农业科技革命新态势	江苏农机与农艺	1999		5	NA	1
932	姜春林	《科技管理研究》1990—1998年刊发文章统计分析	科技管理研究	1999		4	NA	1
933	姜春林	《科研管理》（1994—1998）载文的统计分析	科研管理	2000		2	NA	1
934	姜春林	CSSCI管理学来源期刊引文网络结构分析	科学学与科学技术管理	2009		7	NA	1
935	姜春林	基于CSSCI的我国管理学研究热点可视化分析	图书情报工作	2008		12	NA	1
936	姜春林	基于CSSCI网络版2005年《情报科学》被引分析	情报科学	2007		3	NA	1
937	姜春林	学术评价:同行评议抑或科学计量	中国高等教育	2014		Z3	NA	1
938	姜静静	近10年我国《体育法》研究主题及进展分析	西安体育学院学报	2016	33	3	NA	1
939	姜晓辉	中国人文社会科学核心期刊要览(2008年版)	北京:社会科学文献出版社	NA	NA	NA	NA	1
940	姜言	杨福家:中英教育、科技合作前景广阔	科技信息	2001		12	NA	1
941	蒋国华	科学计量学和情报计量学:今天和明天	科学学与科学技术管理	1997		10	NA	1
942	蒋国华	科学计量学和情报计量学:今天和明天	科学学与科学技术管理	1997		7	NA	1
943	蒋萍	“十一五”期间统计学国家社科基金项目分析	统计研究	2011		9	NA	1
944	蒋胜益	数据挖掘原理与实践	北京:电子工业出版社	NA	NA	NA	NA	1
945	蒋悟生	研究成果评价的重要工具:科学引文索引	情报杂志	2001		5	NA	1
946	蒋勋	我国高职教育研究现状与发展路径研判——基于CSSCI(1998—2014)数据	西南民族大学学报(人文社会科学版)	2015		9	NA	1
947	蒋颖	1995-2004年文献计量学研究的共词分析	情报学报	2006		4	NA	1
948	蒋颖	1995-2004年文献计量学研究的共词分析	情报学报	2006	25	4	504-512	1
949	焦晓静	知识图谱的概念辨析与学科定位研究	图书情报工作	2015		15	NA	1
950	焦艳平	网络环境下的农业全文信息资源及其检索利用	中国农业信息快讯	2001		7	NA	1
951	教育部	“211工程”和“985工程”	2011	NA	NA	NA	NA	1
952	教育部	关于实施高等学校创新能力提升计划的意见	2013	NA	NA	NA	NA	1
953	教育部	特殊教育提升计划(2014-2016年)	2017	NA	NA	NA	NA	1
954	金碧辉	国际论文与国内论文合一统计方法研究	1999:261-269	NA	NA	NA	NA	1
955	金碧辉	论期刊影响因子与论文学术质量的关系	中国科技期刊研究	2000	11	4	NA	1
956	金东海	新机制以来中国农村义务教育财政体制的研究综述	社科纵横	2012		3	NA	1
957	金恒江	新闻传播学领域的健康传播研究:谁做什么？引用谁和被谁引用？——以九本新闻传播类期刊收录的论文为例(2000-2016)	西南民族大学学报(人文社科版)	2017	38	9	NA	1
958	金伟	《编辑学报》2001—2005年引文分析	编辑学报	2006	18	6	NA	1
959	金永祥	PPP:探索实践中的选择	中国财经报	07	23	NA	NA	1
960	金俣昕	共链分析用于管理咨询业竞争态势研究	情报杂志	2009		11	NA	1
961	进学解	NA	NA	NA	NA	NA	NA	1
962	靖继鹏	近三年情报学研究动态及发展趋势分析	情报资料工作	2017		1	NA	1
963	靖培栋	关于科技文献老化的数学模型及老化率的计算	图书情报工作	1999		6	NA	1
964	靖培栋	科技文献经典老化模型的新修正	情报学报	1999		1	NA	1
965	琚琼	基于知识图谱的危机管理研究的可视化分析	现代情报	2014		5	NA	1
966	鞠秀芳	《科技进步与对策》被引、载文及作者的统计分析	科技进步与对策	2007		5	NA	1
967	卡普罗，拉斐尔	信息生态学进展	1989	NA	NA	NA	NA	1
968	康建辉	我国数字出版产业发展中的版权保护问题研究	情报理论与实践	2012		1	NA	1
969	柯平	2010年国外图书馆学情报学研究热点分析	情报科学	2011		9	NA	1
970	柯平	2011-2012年国外图书馆学研究前沿与热点分析	情报科学	2013		6	NA	1
971	柯永河	台湾临床心理学的滥觞、发展与愿景	应用心理研究	2008		40	NA	1
972	科学技术部办公厅	陈小娅副部长在2012年地方基础研究工作会议上的讲话(摘编)	2014	NA	NA	NA	NA	1
973	库恩,托马斯	科学革命的结构	北京:北京大学出版社	NA	NA	NA	NA	1
974	匡文波	“新媒体”概念辨析	国际新闻界	2008		6	NA	1
975	赖大仁	大众娱乐文化的一个“范本”——超女现象的文化读解	现代传播	2006		1	71	1
976	赖欣巴哈	科学哲学的兴起	北京:商务印书馆	NA	NA	NA	NA	1
977	朗诵真	竞争情报与企业竞争力	北京:华夏出版社，2001	NA	NA	NA	NA	1
978	雷迭斯多夫，洛埃特	科学计量学的挑战:科学交流的发展、测度和自组织	北京:科学技术文献出版社，2003:	NA	NA	NA	NA	1
979	黎纲榭	中国网络安全产业现状剖析与对策建议从产业之“火”到应对之“策”	信息安全与通信保密	2016		4	NA	1
980	黎军	从美国参考咨询复兴讨论会看参考咨询的发展趋势	图书馆学研究	2009		12	NA	1
981	李伯聪	工程哲学引论	郑州:大象出版社	NA	NA	NA	NA	1
982	李博	基于文献计量学的科技实力评估的研究进展	图书馆论坛	2004	24	5	33-36	1
983	李超	引用质量加权影响因子评价学术期刊研究——以CSSCI图书情报学期刊评价为例	大学图书馆学报	2012	30	1	NA	1
984	李超平	观察与思考——图书馆学研究现状分析	中国图书馆学报	2006		2	NA	1
985	李琛	“法与人文”的方法论意义——以著作权法为模型	中国社会科学	2007		3	NA	1
986	李春田	标准化概论	北京:中国人民大学出版社	NA	NA	NA	NA	1
987	李芳	国际学生体质健康领域的研究热点与前沿	首都体育学院学报	2014	26	1	NA	1
988	李凤棠	我国科技期刊引文参考文献的现状与对策	中国科技期刊研究	1997	8	3	22	1
989	李纲	网络计量学核心领域研究进展	情报理论与实践	2008	31	2	NA	1
990	李国旗	基于物流热度的中国物流业空间格局	地理科学进展	2015	34	5	NA	1
991	李海燕	近十年国外对中草药研究的关注点——基于高频主题词的共现聚类分析	情报学报	2009	28	3	NA	1
